text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to,aspectTerms/aspectTerm/5/_term,aspectTerms/aspectTerm/5/_polarity,aspectTerms/aspectTerm/5/_from,aspectTerms/aspectTerm/5/_to,aspectTerms/aspectTerm/6/_term,aspectTerms/aspectTerm/6/_polarity,aspectTerms/aspectTerm/6/_from,aspectTerms/aspectTerm/6/_to,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/7/_term,aspectTerms/aspectTerm/7/_polarity,aspectTerms/aspectTerm/7/_from,aspectTerms/aspectTerm/7/_to,aspectCategories/aspectCategory/3/_category,aspectCategories/aspectCategory/3/_polarity,aspectTerms/aspectTerm/8/_term,aspectTerms/aspectTerm/8/_polarity,aspectTerms/aspectTerm/8/_from,aspectTerms/aspectTerm/8/_to
"Not cheap, but not that expensive either.",,,,,price,conflict,3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The staff is incredibly helpful and attentive.,staff,positive,4,9,service,positive,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If presentation and service is your thing, then this magic show works.",service,positive,20,27,service,positive,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apparently, the good cook works then.",cook,positive,21,25,food,positive,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I was pleasantly suprised.,,,,,anecdotes/miscellaneous,positive,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Yellowtail was particularly good as well.,Yellowtail,positive,4,14,food,positive,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One less manhattanite the better.,,,,,anecdotes/miscellaneous,neutral,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everyone is welcomed in as family.,,,,,service,positive,2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,clams oreganta,positive,6,20,food,positive,2349,,,salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil,positive,37,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",menu,negative,4,8,food,negative,2485,,,portions,negative,18,26,lentil dish,negative,60,71,basmati rice dish,negative,102,119,flavor,negative,127,133,,,,,,,,,,,,,,,,,,,,
"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",menu,positive,39,43,ambience,positive,2412,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patroon features a nice cigar bar and has great staff.,cigar bar,positive,24,33,service,positive,2647,ambience,positive,staff,positive,48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hey, I think $2+ for a 5 block walk ain't bad.",,,,,anecdotes/miscellaneous,neutral,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very affordable and excellent ambient!,ambient,positive,30,37,ambience,positive,714,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Look elsewhere.,,,,,anecdotes/miscellaneous,negative,3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"More important, the sushi rivals the best in Tokyo.",sushi,positive,20,25,food,positive,3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have never had cheescake like this.,cheescake,positive,17,26,food,positive,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bill a little high, but worth it.",Bill,conflict,0,4,price,conflict,2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again.",,,,,anecdotes/miscellaneous,negative,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everyone I bring here always loves it.,,,,,anecdotes/miscellaneous,positive,3521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",delivery,negative,45,53,service,negative,2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worth a visit.,,,,,anecdotes/miscellaneous,positive,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A real dissapointment.,,,,,anecdotes/miscellaneous,negative,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its a go-to for dates as well as entertaining out of town guests.,entertaining,positive,33,45,ambience,positive,3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why do people rave about the ambience.,ambience,negative,29,37,ambience,negative,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.,drink,neutral,40,45,anecdotes/miscellaneous,neutral,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",Fluke sashimi,positive,0,13,food,positive,1343,,,jalapeno-lime olive oil,positive,28,51,fruit of the oil,positive,57,73,fish,positive,98,102,,,,,,,,,,,,,,,,,,,,,,,,
Great sushi experience.,sushi,positive,6,11,food,positive,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you're looking for a great meal at a decent price, go to Del Frisco's!",meal,positive,30,34,food,positive,1956,price,positive,price,positive,47,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They charge $6.00 for rice.,rice,negative,22,26,price,negative,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My steak au poivre was one of the worst I've had.,steak au poivre,negative,3,18,food,negative,2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",,,,,anecdotes/miscellaneous,positive,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The owner and staff are all Japanese as well and that adds to the entire ambiance.,staff,positive,14,19,ambience,positive,1779,,,ambiance,positive,73,81,owner,positive,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",congee,positive,8,14,food,positive,142,,,bread,positive,103,108,donut like deep fried dough they call Ow Ley Soh,positive,23,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,positive,49,61,food,positive,2768,service,positive,food-quality,positive,63,75,service,positive,80,87,tables,negative,13,19,,,,,,,,,,,,,ambience,conflict,,,,,,,,,,
The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,food,positive,4,8,food,positive,812,service,positive,waiter,positive,31,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",caviar,positive,21,27,food,positive,218,service,positive,waitstaff,positive,46,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I will be going back and heartily recommend it!,,,,,anecdotes/miscellaneous,positive,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Would definitely visit again.,,,,,anecdotes/miscellaneous,positive,2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely worth the trip to Battery Park City!,,,,,anecdotes/miscellaneous,positive,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",food,conflict,13,17,food,conflict,1204,,,ethnic food,negative,117,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The place was real empty but that was because this was the first Sunday they ever opened.,place,negative,4,9,ambience,conflict,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,food,positive,80,84,price,positive,2239,ambience,conflict,money,positive,94,99,place,conflict,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambience is delightful, service impeccable.",Ambience,positive,0,8,service,positive,3493,ambience,positive,service,positive,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service was excellent, and the AC worked very well too (thank God, it was hot!).",Service,positive,0,7,service,positive,503,ambience,positive,AC,positive,31,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasty but expensive.,,,,,food,positive,2094,price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You get the sense that the people there care about their restaurant and about your experience and that is very nice.,people,positive,27,33,service,positive,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",cooks,positive,24,29,food,positive,1606,service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so i thought why not change it up a bit.,,,,,anecdotes/miscellaneous,neutral,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,sushi rolls,positive,40,51,food,positive,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Although be warned their dinner menu to sit and take out prices are different.,prices,neutral,57,63,price,neutral,2334,,,dinner menu to sit,neutral,25,43,take out,neutral,48,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",staff,positive,4,9,food,positive,2079,service,positive,food,positive,32,36,place,positive,70,75,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
P.S. Please don't tell anyone in my family i eat there.,,,,,anecdotes/miscellaneous,neutral,2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Scallion Pancake,positive,17,33,food,positive,1424,,,vegetable juice,positive,46,61,Guizhou Chicken,positive,90,105,Shredded Squid Family Style,positive,109,136,Sichuan Spicy Soft Shell Crab,positive,171,200,Shuizhu Fish,positive,204,216,Sichuan food,neutral,243,255,,,,,,,,,,,,
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,spinach mushroom calzone,negative,68,92,food,negative,1294,,,canned vegetables,negative,41,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To celebrate a birthday, three of us went to Mare anticipating great food.",food,neutral,69,73,anecdotes/miscellaneous,neutral,2361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,Blue Point oysters,neutral,29,47,price,positive,316,,,beer,neutral,54,58,glass of wine,neutral,62,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,noodle dishes,positive,19,32,food,conflict,1393,,,Green Curry dish,negative,66,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I went to pams with my girlfriend, and i love it.",,,,,anecdotes/miscellaneous,positive,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"But for whatever reason, prices are about twice as high.",prices,negative,25,31,price,negative,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,service,negative,91,98,anecdotes/miscellaneous,neutral,1213,service,negative,food,negative,117,121,,,,,,,,,,,,,,,,,,,,,price,negative,,,,,food,negative,,,,
Great atmoshere and worth every bit.,atmoshere,positive,6,15,ambience,positive,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We had a most unpleasant experience at this restaurant.,,,,,anecdotes/miscellaneous,negative,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,positive,4,19,food,positive,2262,,,rock shrimp tempura,positive,47,66,appetizer,positive,86,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The staff was knowledgeable and full of personality.,staff,positive,4,9,service,positive,3456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great staff.,staff,positive,6,11,service,positive,1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",cost,negative,43,47,service,negative,1081,price,negative,meal,neutral,63,67,seat,negative,115,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",dessert,positive,64,71,food,positive,1117,,,White Chocolate Bread Pudding with Gelato and hot chocolate,positive,88,147,dinner,positive,32,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The banana tower is an amazing dessert as well.,banana tower,positive,4,16,food,positive,306,,,dessert,positive,31,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I went there with my friend last saturday.,,,,,anecdotes/miscellaneous,neutral,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Excellent atmosphere, delicious dishes good and friendly service.",atmosphere,positive,10,20,food,positive,94,service,positive,dishes,positive,32,38,service,positive,57,64,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
A cool place to hang with your friends for a couple of healthy drinks and desserts.,place,positive,7,12,food,positive,1015,ambience,positive,drinks,positive,63,69,desserts,positive,74,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great vibe, lots of people.",vibe,positive,6,10,ambience,positive,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.",food,positive,16,20,food,conflict,2422,,,food,positive,80,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just an odd group.,,,,,anecdotes/miscellaneous,neutral,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",service,negative,4,11,service,conflict,1607,,,dinner,neutral,138,144,table,positive,149,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",,,,,ambience,negative,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love this place!,,,,,anecdotes/miscellaneous,positive,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it is not consistent.,,,,,anecdotes/miscellaneous,negative,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,icing on the cake,negative,20,37,food,negative,2793,,,tiramisu,negative,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food and the prices are very reasonable.,food,positive,6,10,food,positive,2332,price,positive,prices,positive,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine list is not huge but def well selected.,Wine list,conflict,0,9,food,conflict,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A cool bar with great food, and tons of excellent beer.",bar,positive,7,10,food,positive,58,ambience,positive,food,positive,22,26,beer,positive,50,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Be sure to try the seasonal, and always delicious, specials.",specials,positive,51,59,food,positive,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ambience is authentic and relaxing and we have always received attentive and prompt service.,ambience,positive,4,12,ambience,positive,869,service,positive,service,positive,88,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fresh, authentic, french cuisine in substantial portions.",french cuisine,positive,18,32,food,positive,2961,,,portions,positive,48,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drinks got screwed up, she acted put upon.",Drinks,negative,0,6,service,negative,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,vegetarian entree,positive,8,25,food,positive,2085,,,Abby's treasure,positive,27,42,wintermelon,positive,101,112,assortment of fresh mushrooms and vegetables,positive,125,169,,,,,,,,,,,,,,,,,,,,,,,,
"At 5 dumplings for $1, you just cannot go wrong.",dumplings,positive,5,14,price,positive,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But the pizza is way to expensive.,pizza,negative,8,13,price,negative,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And the staff is also young, energeic and hot!!!!",staff,positive,8,13,service,positive,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it.",Steak au Poivre,positive,56,71,food,positive,505,,,Onglet,positive,76,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",Service,conflict,0,7,service,conflict,842,,,prices,negative,80,86,reputation,positive,91,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We had a wonderful meal at Naples 45 a month ago on a visit to NYC.,meal,positive,19,23,food,positive,1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good drink.,drink,positive,5,10,food,positive,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",food,positive,6,10,food,positive,2443,service,positive,spinach and corn dumplings,positive,12,38,service,positive,91,98,bathroom,positive,121,129,massamman curry,positive,43,58,,,,,,,,,ambience,positive,,,,,,,,,,
Was there Friday night.,,,,,anecdotes/miscellaneous,neutral,3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We had a girls' night dinner here for restaurant week.,dinner,neutral,22,28,anecdotes/miscellaneous,neutral,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romantic if you want it to be (brightly lit).,,,,,ambience,positive,3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.",ceiling,negative,119,126,anecdotes/miscellaneous,negative,3483,,,dinner,neutral,32,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I recommend it!,,,,,anecdotes/miscellaneous,positive,1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have taken practically every guest that has come to visit me in NY and hooked a few New Yorkers onto Peep as well.,,,,,anecdotes/miscellaneous,positive,2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enough said!,,,,,anecdotes/miscellaneous,neutral,3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't live in NY but my best friend does.,,,,,anecdotes/miscellaneous,neutral,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My chow fun and chow see was really bland and oily.,chow fun and chow see,negative,3,24,food,negative,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!",table,positive,103,108,anecdotes/miscellaneous,positive,828,ambience,positive,reservation,positive,23,34,seated,positive,91,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"we did notice however, that some tables had what looked like pita instead of naan.",pita,negative,61,65,service,negative,3553,,,naan,negative,77,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I didn't take a look at the rest menu, but the oysters were fantastic.",menu,neutral,33,37,food,positive,315,,,oysters,positive,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After the review I treked into Brooklyn.,,,,,anecdotes/miscellaneous,neutral,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The grilled cheese at home afterwards was better.!!,grilled cheese,positive,4,18,food,negative,3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We were pleasantly greeted.,,,,,service,positive,1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The red sliding doors may be unique but they do not block off the cold air from the outside.,doors,conflict,16,21,ambience,negative,2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great service, great food.",service,positive,6,13,food,positive,666,service,positive,food,positive,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The food is expensive, but worth every bite.",food,conflict,4,8,price,negative,1910,food,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,20,24,food,conflict,1018,service,negative,service,negative,33,40,service,negative,76,83,good,positive,63,67,,,,,,,,,,,,,,,,,,,,,,,,
When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,waitress,negative,32,40,service,negative,39,anecdotes/miscellaneous,negative,check,neutral,85,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In summer-eat outside on a terrace (another great feature of Suan)!!!,terrace,positive,27,34,ambience,positive,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...",design,positive,59,65,food,positive,2458,ambience,positive,drinks,positive,74,80,food,positive,85,89,bar,neutral,154,157,,,,,,,,,,,,,,,,,,,,,,,,
"Recommendations, of course, are required!",,,,,anecdotes/miscellaneous,neutral,2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We did have to wait at the bar for approx.,bar,neutral,27,30,service,negative,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You fellas above says its the best Taiwanese restaurant in town.,,,,,anecdotes/miscellaneous,neutral,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeah, it's that good.",,,,,anecdotes/miscellaneous,positive,2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you love seafood, you would love this place!",seafood,positive,12,19,food,positive,3228,,,place,positive,41,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Good, fast service.",service,positive,11,18,service,positive,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.,,,,,food,positive,2333,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They charge different prices all the time.,prices,negative,22,28,price,negative,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside.",,,,,ambience,conflict,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",service,negative,71,78,anecdotes/miscellaneous,positive,2245,service,negative,,,,,,,,,,,,,,,,,,,,,,,,,price,negative,,,,,,,,,,
"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.",cheese,positive,37,43,food,positive,2028,anecdotes/miscellaneous,positive,menu,positive,72,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am so coming back here again, as much as I can.",,,,,anecdotes/miscellaneous,positive,2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been going back again and again.,,,,,anecdotes/miscellaneous,positive,3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.",atmoshere,positive,43,52,ambience,positive,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,Japanese cuisine,negative,82,98,food,negative,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,neutral,16,20,food,neutral,165,,,appetizers,neutral,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love the Jazz bands on Fri and Sat.,Jazz bands,positive,9,19,ambience,positive,2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overall, excellent restaurant!",,,,,anecdotes/miscellaneous,positive,3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",hostess,positive,81,88,service,conflict,3114,,,wait,negative,45,49,table,positive,135,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The servers give you some sample slices of your order while you wait (shortly I might add).,servers,positive,4,11,service,positive,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The service was ok.,service,neutral,4,11,service,neutral,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",dish,neutral,31,35,service,negative,3512,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ate here for the first time and absolutely loved it!,,,,,anecdotes/miscellaneous,positive,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Don't expect to sit down inside though, there are only a few tables and they are always full.",tables,negative,61,67,ambience,negative,3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",staff,positive,4,9,food,positive,1947,service,positive,ambiance,positive,31,39,food,positive,77,81,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
